UNIVERSITY,CAMPUS,COLLEGE,COURSES,MAJOR,RIASEC CODE,PRIMARY TAG,SECONDARY TAG,TERTIARY TAG
Nueva Ecija University of Science and Technology,General Tinio,College of Arts and Sciences,Bachelor Science in Biology,,IRC,I,R,C
Nueva Ecija University of Science and Technology,General Tinio,College of Arts and Sciences,Bachelor Science in Food Technology,,IRS,I,R,S
Nueva Ecija University of Science and Technology,General Tinio,College of Arts and Sciences,Bachelor Science in Psychology,,SIA,S,I,A
Nueva Ecija University of Science and Technology,General Tinio,College of Arts and Sciences,Bachelor of Science in Chemistry,,IRC,I,R,C
Nueva Ecija University of Science and Technology,General Tinio,College of Arts and Sciences,Bachelor of Science in Environmental Science,Pollution Control and Waste Management,ECS,E,C,S
Nueva Ecija University of Science and Technology,General Tinio,College of Industrial Technology,Bachelor of Industrial Technology,Apparel and Fashion Technology,RCI,R,C,I
Nueva Ecija University of Science and Technology,General Tinio,College of Industrial Technology,Bachelor of Industrial Technology,Automotive Technology,RCI,R,C,I
Nueva Ecija University of Science and Technology,General Tinio,College of Industrial Technology,Bachelor of Industrial Technology,Drafting Technology,RCI,R,C,I
Nueva Ecija University of Science and Technology,General Tinio,College of Industrial Technology,Bachelor of Industrial Technology,Electrical Technology,RIC,R,I,C
Nueva Ecija University of Science and Technology,General Tinio,College of Industrial Technology,Bachelor of Industrial Technology,Electronics Technology,RIC,R,I,C
Nueva Ecija University of Science and Technology,General Tinio,College of Industrial Technology,Bachelor of Industrial Technology,Food Technology,IRS,I,R,S
Nueva Ecija University of Science and Technology,General Tinio,College of Industrial Technology,Bachelor of Industrial Technology,"Heating, Ventilating and Air-Conditioning Technology",RCI,R,C,I
Nueva Ecija University of Science and Technology,General Tinio,College of Industrial Technology,Bachelor of Industrial Technology,Mechanical Technology,RCI,R,C,I
Nueva Ecija University of Science and Technology,General Tinio,College of Industrial Technology,Bachelor of Industrial Technology,Electronics and Communication Engineering Technology,RIC,R,I,C
Nueva Ecija University of Science and Technology,General Tinio,College of Nursing,Bachelor of Science in Nursing,,SIA,S,I,A
Nueva Ecija University of Science and Technology,Sumacab,College of Architecture,Bachelor of Science in Architecture,,AIR,A,I,R
Nueva Ecija University of Science and Technology,Sumacab,College of Criminology,Bachelor of Science in Criminology,,RES,R,E,S
Nueva Ecija University of Science and Technology,Sumacab,College of Education,Bachelor of Elementary Education,Basic Education,SAE,S,A,E
Nueva Ecija University of Science and Technology,Sumacab,College of Education,Bachelor of Physical Education,,SAE,S,A,E
Nueva Ecija University of Science and Technology,Sumacab,College of Education,Bachelor of Secondary Education,Science Education,SAE,S,A,E
Nueva Ecija University of Science and Technology,Sumacab,College of Education,Bachelor of Secondary Education,Mathematics Education,ICR,I,C,R
Nueva Ecija University of Science and Technology,Sumacab,College of Education,Bachelor of Secondary Education,Physics Education,SAE,S,A,E
